Product ID,Positive,Negative,Neutral
B001E4KFG0,100.00%,0.00%,0.00%
B00813GRG4,0.00%,100.00%,0.00%
B000LQOCH0,100.00%,0.00%,0.00%
B000UA0QIQ,0.00%,100.00%,0.00%
B006K2ZZ7K,100.00%,0.00%,0.00%
B000E7L2R4,100.00%,0.00%,0.00%
B00171APVA,100.00%,0.00%,0.00%
B0001PB9FE,100.00%,0.00%,0.00%
B0009XLVG0,50.00%,50.00%,0.00%
B001GVISJM,86.67%,13.33%,0.00%
B00144C10S,100.00%,0.00%,0.00%
B0001PB9FY,100.00%,0.00%,0.00%
B003F6UO7K,100.00%,0.00%,0.00%
B001EO5QW8,78.95%,5.26%,15.79%
B000G6RPMY,66.67%,0.00%,33.33%
B002GWHC0G,100.00%,0.00%,0.00%
B004N5KULM,83.33%,0.00%,16.67%
B001EO5TPM,0.00%,100.00%,0.00%
B005DUM9UQ,80.00%,20.00%,0.00%
B000E7VI7S,50.00%,0.00%,50.00%
B001GVISJC,100.00%,0.00%,0.00%
B006SQBRMA,100.00%,0.00%,0.00%
B0059WXJKM,0.00%,100.00%,0.00%
B001EPPI84,0.00%,100.00%,0.00%
B004X2KR36,66.67%,0.00%,33.33%
B005R8JE8O,100.00%,0.00%,0.00%
B0066DMI6Y,100.00%,0.00%,0.00%
B003ZFRKGO,100.00%,0.00%,0.00%
B0019CW0HE,82.35%,5.88%,11.76%
B004K2IHUO,85.71%,0.00%,14.29%
B001REEG6C,100.00%,0.00%,0.00%
B000J0HIT2,0.00%,100.00%,0.00%
B0037LW78C,100.00%,0.00%,0.00%
B0026Y3YBK,100.00%,0.00%,0.00%
B003SE19UK,100.00%,0.00%,0.00%
B003OB0IB8,77.78%,11.11%,11.11%
B002SRYRE8,100.00%,0.00%,0.00%
B001GVISJW,80.00%,0.00%,20.00%
B0017I8UME,66.67%,33.33%,0.00%
B0064KU9HO,0.00%,0.00%,100.00%
B0037ZFEW4,100.00%,0.00%,0.00%
B00374XSVY,100.00%,0.00%,0.00%
B005P0HHGK,100.00%,0.00%,0.00%
B002HQAXUW,0.00%,100.00%,0.00%
B000SV90J8,100.00%,0.00%,0.00%
B0036VM05I,100.00%,0.00%,0.00%
B000ITVLE2,71.43%,14.29%,14.29%
B003TQQKFQ,100.00%,0.00%,0.00%
B007B9J6G2,0.00%,100.00%,0.00%
B0064KO0BU,33.33%,33.33%,33.33%
B001IUKD76,100.00%,0.00%,0.00%
B0081XN2HQ,100.00%,0.00%,0.00%
B0025VRCJY,100.00%,0.00%,0.00%
B005CJVVJ8,75.00%,0.00%,25.00%
B001KUUNP6,100.00%,0.00%,0.00%
B000NY8ODS,100.00%,0.00%,0.00%
B00029XIZI,100.00%,0.00%,0.00%
B004V6AH34,80.00%,0.00%,20.00%
B0028C44Z0,81.25%,12.50%,6.25%
B0009XLVGA,60.00%,40.00%,0.00%
B002TDK0VK,66.67%,33.33%,0.00%
B0040WAG7Q,0.00%,0.00%,100.00%
B001EO5ZMO,85.71%,14.29%,0.00%
B001SATU8E,100.00%,0.00%,0.00%
B007JFV6RK,100.00%,0.00%,0.00%
B001L4ELRW,0.00%,100.00%,0.00%
B003SO503C,100.00%,0.00%,0.00%
B003ZFXJDW,66.67%,33.33%,0.00%
B001HTL6CY,0.00%,100.00%,0.00%
B000WFRMRW,100.00%,0.00%,0.00%
B001EO5ZME,100.00%,0.00%,0.00%
B0093NIWVO,100.00%,0.00%,0.00%
B001EO5ZMY,83.33%,16.67%,0.00%
B007TFONH0,100.00%,0.00%,0.00%
B000GGKQSO,100.00%,0.00%,0.00%
B007J32WX4,100.00%,0.00%,0.00%
B0017129DC,0.00%,0.00%,100.00%
B0002567IW,0.00%,100.00%,0.00%
B0048IC328,33.33%,66.67%,0.00%
B0025WIAN0,100.00%,0.00%,0.00%
B00821UN4M,0.00%,100.00%,0.00%
B00473RWXY,100.00%,0.00%,0.00%
B002MV23XM,100.00%,0.00%,0.00%
B000LKZK7C,80.00%,6.67%,13.33%
B001D07IPG,83.33%,16.67%,0.00%
B000H13270,50.00%,0.00%,50.00%
B001UJEN6C,84.21%,5.26%,10.53%
B003EMU7EU,100.00%,0.00%,0.00%
B0064KOUNI,100.00%,0.00%,0.00%
B003YDP5PA,75.00%,25.00%,0.00%
B002X9JNYU,0.00%,100.00%,0.00%
B001EPQ0J0,100.00%,0.00%,0.00%
B000O9Y62A,100.00%,0.00%,0.00%
B00283TPYE,100.00%,0.00%,0.00%
B001FB69YY,100.00%,0.00%,0.00%
B004OYBN7C,100.00%,0.00%,0.00%
B000JEHAHS,25.00%,25.00%,50.00%
